"TRTMT.No","TRTMT.F","TRTMT.O","PLOT","POSITION","DESTS","DESTZ","DSITE.ZONE","OSITE.ZONE","ORS","ORZ","FAMILY","SEED.TYPE","SURV.TP","SURV.FLW","SURV.FR","GR","STEM.FL","STEM.F","LEAF.FL","BR.FL","BR.F","DATE.FL","J.Date.FL","DATE.F","J.Date.F","Diff.Date.FL.F","F.NFL","logGR","sqrtGR","rankGR","logSTEM.FL","sqrtSTEM.FL","rankSTEM.FL","logSTEM.F","sqrtSTEM.F","rankSTEM.F","logBR.F","sqrtBR.F","rankBR.F","logJ.Date.FL","sqrtJ.Date.FL","rankJ.Date.FL","logDiff.Date.FL.F","sqrtDiff.Date.FL.F","rankDiff.Date.FL.F","logF.NFL","sqrtF.NFL","rankF.NFL"
"4","LD","LD","2","7","D","2","D2","D1","D","1","21","D","1","1","1",0,4,4,3,1,1,"02-Sep-13",245,"02-Sep-13",245,0,1,0,0.707106781186548,5.5,0.698970004336019,2.12132034355964,12.5,0.698970004336019,2.12132034355964,10.5,0.301029995663981,1.22474487139159,13.5,2.39093510710338,15.6684396159924,23.5,0,0.707106781186548,7.5,0.301029995663981,1.22474487139159,11
"4","LD","LD","2","12","D","2","D2","D2","D","2","11","P","1","1","1",0.010416667,5.5,5.5,5,1,1,"02-Sep-13",245,"02-Sep-13",245,0,1,0.00450050136994889,0.714434508545045,13.5,0.812913356642856,2.44948974278318,22.5,0.812913356642856,2.44948974278318,20.5,0.301029995663981,1.22474487139159,13.5,2.39093510710338,15.6684396159924,23.5,0,0.707106781186548,7.5,0.301029995663981,1.22474487139159,11
"4","LD","LD","3","12","D","2","D2","M1","M","1","19","P","1","1","1",0.010416667,5.5,5.5,1,1,1,"02-Aug-13",214,"15-Aug-13",227,13,1,0.00450050136994889,0.714434508545045,13.5,0.812913356642856,2.44948974278318,22.5,0.812913356642856,2.44948974278318,20.5,0.301029995663981,1.22474487139159,13.5,2.33243845991561,14.6458185158768,11.5,1.14612803567824,3.67423461417477,21.5,0.301029995663981,1.22474487139159,11
"4","LD","LD","3","8","D","2","D2","M2","M","2","6","D","1","1","1",0,3,3,1,1,1,"02-Sep-13",245,"02-Sep-13",245,0,1,0,0.707106781186548,5.5,0.602059991327962,1.87082869338697,6,0.602059991327962,1.87082869338697,4.5,0.301029995663981,1.22474487139159,13.5,2.39093510710338,15.6684396159924,23.5,0,0.707106781186548,7.5,0.301029995663981,1.22474487139159,11
"4","LD","LD","3","1","D","2","D2","D1","D","1","18","P","1","0","0",0.020833333,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.00895484251111596,0.721687836256092,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","LD","LD","5","10","D","2","D2","D1","D","1","13","D","1","0","0",0.016666667,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.00717858476951502,0.71879528866013,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","LD","LD","6","4","D","2","D2","D2","D","2","24","P","1","1","1",0.03125,5,5.5,3,1,1,"23-Jul-13",204,"02-Aug-13",214,10,2,0.0133639615579815,0.728868986855663,33.5,0.778151250383644,2.34520787991171,18,0.812913356642856,2.44948974278318,20.5,0.301029995663981,1.22474487139159,13.5,2.31175386105575,14.3003496460751,4.5,1.04139268515823,3.24037034920393,18,0.477121254719662,1.58113883008419,23
"4","LD","LD","6","5","D","2","D2","D1","D","1","22","P","1","1","1",0.03125,3,3.5,3,1,1,"02-Aug-13",214,"15-Aug-13",227,13,1,0.0133639615579815,0.728868986855663,33.5,0.602059991327962,1.87082869338697,6,0.653212513775344,2,9,0.301029995663981,1.22474487139159,13.5,2.33243845991561,14.6458185158768,11.5,1.14612803567824,3.67423461417477,21.5,0.301029995663981,1.22474487139159,11
"4","LD","LD","7","6","D","2","D2","M1","M","1","15","D","1","1","1",0.03125,3,4.5,4,1,1,"02-Aug-13",214,"15-Aug-13",227,13,1,0.0133639615579815,0.728868986855663,33.5,0.602059991327962,1.87082869338697,6,0.740362689494244,2.23606797749979,13,0.301029995663981,1.22474487139159,13.5,2.33243845991561,14.6458185158768,11.5,1.14612803567824,3.67423461417477,21.5,0.301029995663981,1.22474487139159,11
"4","LD","LD","7","8","D","2","D2","D2","D","2","8","D","1","0","0",0.03125,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0133639615579815,0.728868986855663,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","LD","LDBS","2","9","D","2","D2","D2","D","2","24","D","1","1","1",0.114583333,6,6,2,2,2,"02-Sep-13",245,"02-Sep-13",245,0,1,0.0471125445157587,0.783953654880185,56,0.845098040014257,2.54950975679639,27,0.845098040014257,2.54950975679639,25,0.477121254719662,1.58113883008419,27.5,2.39093510710338,15.6684396159924,23.5,0,0.707106781186548,7.5,0.301029995663981,1.22474487139159,11
"5","LD","LDBS","2","11","D","2","D2","D2","D","2","14","P","1","0","0",0.125,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0511525224473813,0.790569415042095,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","LD","LDBS","3","6","D","2","D2","M1","M","1","15","D","1","1","1",0,4.5,4.5,3,1,1,"23-Jul-13",204,"02-Aug-13",214,10,1,0,0.707106781186548,5.5,0.740362689494244,2.23606797749979,14.5,0.740362689494244,2.23606797749979,13,0.301029995663981,1.22474487139159,13.5,2.31175386105575,14.3003496460751,4.5,1.04139268515823,3.24037034920393,18,0.301029995663981,1.22474487139159,11
"5","LD","LDBS","3","7","D","2","D2","D1","D","1","14","P","1","1","1",0,3,3,2,1,1,"02-Sep-13",245,"02-Sep-13",245,0,1,0,0.707106781186548,5.5,0.602059991327962,1.87082869338697,6,0.602059991327962,1.87082869338697,4.5,0.301029995663981,1.22474487139159,13.5,2.39093510710338,15.6684396159924,23.5,0,0.707106781186548,7.5,0.301029995663981,1.22474487139159,11
"5","LD","LDBS","3","5","D","2","D2","D2","D","2","7","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
