"TRTMT.No","TRTMT.F","TRTMT.O","PLOT","POSITION","DESTS","DESTZ","DSITE.ZONE","OSITE.ZONE","ORS","ORZ","FAMILY","SEED.TYPE","SURV.TP","SURV.FLW","SURV.FR","GR","STEM.FL","STEM.F","LEAF.FL","BR.FL","BR.F","DATE.FL","J.Date.FL","DATE.F","J.Date.F","Diff.Date.FL.F","F.NFL","logGR","sqrtGR","rankGR","logSTEM.FL","sqrtSTEM.FL","rankSTEM.FL","logSTEM.F","sqrtSTEM.F","rankSTEM.F","logBR.F","sqrtBR.F","rankBR.F","logJ.Date.FL","sqrtJ.Date.FL","rankJ.Date.FL","logDiff.Date.FL.F","sqrtDiff.Date.FL.F","rankDiff.Date.FL.F","logF.NFL","sqrtF.NFL","rankF.NFL"
"4","LD","LD","2","7","D","2","D2","D1","D","1","21","D","1","1","1",0,4,4,3,1,1,"02-Sep-13",245,"02-Sep-13",245,0,1,0,0.707106781186548,5.5,0.698970004336019,2.12132034355964,12,0.698970004336019,2.12132034355964,11.5,0.301029995663981,1.22474487139159,12.5,2.39093510710338,15.6684396159924,21.5,0,0.707106781186548,6.5,0.301029995663981,1.22474487139159,9.5
"4","LD","LD","2","12","D","2","D2","D2","D","2","11","P","1","1","1",0.010416667,5.5,5.5,5,1,1,"02-Sep-13",245,"02-Sep-13",245,0,1,0.00450050136994889,0.714434508545045,15,0.812913356642856,2.44948974278318,21,0.812913356642856,2.44948974278318,22,0.301029995663981,1.22474487139159,12.5,2.39093510710338,15.6684396159924,21.5,0,0.707106781186548,6.5,0.301029995663981,1.22474487139159,9.5
"4","LD","LD","3","12","D","2","D2","M1","M","1","19","P","1","1","1",0.010416667,5.5,5.5,1,1,1,"02-Aug-13",214,"15-Aug-13",227,13,1,0.00450050136994889,0.714434508545045,15,0.812913356642856,2.44948974278318,21,0.812913356642856,2.44948974278318,22,0.301029995663981,1.22474487139159,12.5,2.33243845991561,14.6458185158768,10.5,1.14612803567824,3.67423461417477,21,0.301029995663981,1.22474487139159,9.5
"4","LD","LD","3","8","D","2","D2","M2","M","2","6","D","1","1","1",0,3,3,1,1,1,"02-Sep-13",245,"02-Sep-13",245,0,1,0,0.707106781186548,5.5,0.602059991327962,1.87082869338697,7,0.602059991327962,1.87082869338697,5,0.301029995663981,1.22474487139159,12.5,2.39093510710338,15.6684396159924,21.5,0,0.707106781186548,6.5,0.301029995663981,1.22474487139159,9.5
"4","LD","LD","3","11","D","2","D2","B1","B","1","9","P","1","1","1",0.010416667,2.5,2.5,4,1,1,"02-Sep-13",245,"02-Sep-13",245,0,2,0.00450050136994889,0.714434508545045,15,0.544068044350276,1.73205080756888,3,0.544068044350276,1.73205080756888,2,0.301029995663981,1.22474487139159,12.5,2.39093510710338,15.6684396159924,21.5,0,0.707106781186548,6.5,0.477121254719662,1.58113883008419,20.5
"4","LD","LD","3","1","D","2","D2","D1","D","1","18","P","1","0","0",0.020833333,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.00895484251111596,0.721687836256092,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","LD","LD","4","6","D","2","D2","B1","B","1","13","P","1","0","0",0.016666667,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.00717858476951502,0.71879528866013,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","LD","LD","5","10","D","2","D2","D1","D","1","13","D","1","0","0",0.016666667,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.00717858476951502,0.71879528866013,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","LD","LD","6","3","D","2","D2","B2","B","2","7","D","1","1","1",0.016666667,5,5,5,1,1,"23-Jul-13",204,"02-Aug-13",214,10,2,0.00717858476951502,0.71879528866013,22.5,0.778151250383644,2.34520787991171,17.5,0.778151250383644,2.34520787991171,18.5,0.301029995663981,1.22474487139159,12.5,2.31175386105575,14.3003496460751,4,1.04139268515823,3.24037034920393,15.5,0.477121254719662,1.58113883008419,20.5
"4","LD","LD","6","1","D","2","D2","B2","B","2","8","P","1","1","1",0.020833333,2,3,3,1,1,"23-Jul-13",204,"02-Aug-13",214,10,1,0.00895484251111596,0.721687836256092,28,0.477121254719662,1.58113883008419,1.5,0.602059991327962,1.87082869338697,5,0.301029995663981,1.22474487139159,12.5,2.31175386105575,14.3003496460751,4,1.04139268515823,3.24037034920393,15.5,0.301029995663981,1.22474487139159,9.5
