"TRTMT.No","TRTMT.F","TRTMT.O","PLOT","POSITION","DESTS","DESTZ","DSITE.ZONE","OSITE.ZONE","ORS","ORZ","FAMILY","SEED.TYPE","SURV.TP","SURV.FLW","SURV.FR","GR","STEM.FL","STEM.F","LEAF.FL","BR.FL","BR.F","DATE.FL","J.Date.FL","DATE.F","J.Date.F","Diff.Date.FL.F","F.NFL","logGR","sqrtGR","rankGR","logSTEM.FL","sqrtSTEM.FL","rankSTEM.FL","logSTEM.F","sqrtSTEM.F","rankSTEM.F","logBR.F","sqrtBR.F","rankBR.F","logJ.Date.FL","sqrtJ.Date.FL","rankJ.Date.FL","logDiff.Date.FL.F","sqrtDiff.Date.FL.F","rankDiff.Date.FL.F","logF.NFL","sqrtF.NFL","rankF.NFL"
"1","LD","LD","3","10","M","1","M1","M1","M","1","3","P","1","0","0",0.071428571,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0299632232037254,0.755928945734981,32.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","LD","LD","5","12","M","1","M1","D1","D","1","20","D","1","1","1",0.214285714,5,17,7,3,5,"17-Jul-13",198,"04-Sep-13",247,49,47,0.084320885597849,0.845154254559486,56,0.778151250383644,2.34520787991171,9.5,1.25527250510331,4.18330013267038,25,0.778151250383644,2.34520787991171,26.5,2.29885307640971,14.0890028036054,2,1.69897000433602,7.03562363973514,26.5,1.68124123737559,6.89202437604511,27
"1","LD","LD","5","7","M","1","M1","D1","D","1","21","D","1","0","0",0.071428571,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0299632232037254,0.755928945734981,32.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","LD","LD","6","6","M","1","M1","D1","D","1","19","P","1","1","1",0.142857143,6,11,16,2,3,"31-Jul-13",212,"04-Sep-13",247,35,44,0.0579919470319736,0.80178372582636,50.5,0.845098040014257,2.54950975679639,15.5,1.07918124604762,3.39116499156263,22,0.602059991327962,1.87082869338697,20,2.32837960343874,14.5773797371133,6.5,1.55630250076729,5.95818764390649,24,1.65321251377534,6.67083203206317,26
"1","LD","LD","8","10","M","1","M1","M1","M","1","3","D","1","1","1",0.160714286,10,11,8,1,4,"21-Aug-13",233,"04-Sep-13",247,14,29,0.0647253297435584,0.812843334228681,54,1.04139268515823,3.24037034920393,28.5,1.07918124604762,3.39116499156263,22,0.698970004336019,2.12132034355964,24,2.36921585741014,15.2807067899361,17,1.17609125905568,3.80788655293195,16.5,1.47712125471966,5.43139024560011,24
"1","LD","LD","9","12","M","1","M1","D1","D","1","25","D","1","1","1",0.142857143,10,10,6,2,2,"04-Sep-13",247,"04-Sep-13",247,0,7,0.0579919470319736,0.80178372582636,50.5,1.04139268515823,3.24037034920393,28.5,1.04139268515823,3.24037034920393,18.5,0.477121254719662,1.58113883008419,14.5,2.39445168082622,15.7321327225523,24,0,0.707106781186548,6.5,0.903089986991944,2.73861278752583,15
"1","LD","LD","9","2","M","1","M1","D2","D","2","10","D","1","1","1",0.178571429,10,10,6,5,5,"04-Sep-13",247,"04-Sep-13",247,0,9,0.0713559086935935,0.823754471308047,55,1.04139268515823,3.24037034920393,28.5,1.04139268515823,3.24037034920393,18.5,0.778151250383644,2.34520787991171,26.5,2.39445168082622,15.7321327225523,24,0,0.707106781186548,6.5,1,3.08220700148449,18
"1","LD","LD","9","7","M","1","M1","M2","M","2","5","P","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","LD","LD","10","4","M","1","M1","D2","D","2","18","D","1","1","1",0.125,8,8,6,2,2,"04-Sep-13",247,"04-Sep-13",247,0,6,0.0511525224473813,0.790569415042095,47,0.954242509439325,2.91547594742265,23.5,0.954242509439325,2.91547594742265,13,0.477121254719662,1.58113883008419,14.5,2.39445168082622,15.7321327225523,24,0,0.707106781186548,6.5,0.845098040014257,2.54950975679639,13
"2","LD","HD","3","3","M","2","M2","D2","D","2","5","P","1","1","1",0.053571429,3,3,4,1,1,"04-Sep-13",247,"04-Sep-13",247,0,1,0.0226639848126059,0.744023809430854,26.5,0.602059991327962,1.87082869338697,3.5,0.602059991327962,1.87082869338697,3,0.301029995663981,1.22474487139159,6,2.39445168082622,15.7321327225523,24,0,0.707106781186548,6.5,0.301029995663981,1.22474487139159,4
"2","LD","HD","3","12","M","2","M2","D1","D","1","21","D","1","0","0",0.035714286,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0152399666765422,0.73192505490658,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","LD","HD","4","5","M","2","M2","M1","M","1","15","D","1","0","0",0.035714286,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0152399666765422,0.73192505490658,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","LD","HD","4","1","M","2","M2","M2","M","2","5","P","1","0","0",0.071428571,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0299632232037254,0.755928945734981,32.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","LD","HD","5","3","M","2","M2","D1","D","1","9","D","1","1","1",0.057142857,5,NA,5,1,1,"31-Jul-13",212,"07-Aug-13",219,7,1,0.024133679658031,0.746420027196484,28,0.778151250383644,2.34520787991171,9.5,NA,NA,NA,0.301029995663981,1.22474487139159,6,2.32837960343874,14.5773797371133,6.5,0.903089986991944,2.73861278752583,13.5,0.301029995663981,1.22474487139159,4
"2","LD","HD","5","8","M","2","M2","D1","D","1","25","D","1","0","0",0.014285714,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.00616030858248194,0.717137165401431,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","LD","HD","6","8","M","2","M2","D1","D","1","22","D","1","1","1",0.107142857,7,10,6,2,2,"17-Jul-13",198,"07-Aug-13",219,21,7,0.0442036624360154,0.77919372238231,43.5,0.903089986991944,2.73861278752583,20,1.04139268515823,3.24037034920393,18.5,0.477121254719662,1.58113883008419,14.5,2.29885307640971,14.0890028036054,2,1.34242268082221,4.63680924774785,19,0.903089986991944,2.73861278752583,15
"2","LD","HD","6","2","M","2","M2","M1","M","1","15","D","1","1","1",0.285714286,7,20,6,2,4,"17-Jul-13",198,"04-Sep-13",247,49,37,0.109144469521578,0.886405260589083,57,0.903089986991944,2.73861278752583,20,1.32221929473392,4.52769256906871,26,0.698970004336019,2.12132034355964,24,2.29885307640971,14.0890028036054,2,1.69897000433602,7.03562363973514,26.5,1.57978359661681,6.12372435695795,25
"2","LD","HD","6","11","M","2","M2","D2","D","2","13","P","1","1","1",0.071428571,3,5,7,1,1,"31-Jul-13",212,"07-Aug-13",219,7,1,0.0299632232037254,0.755928945734981,32.5,0.602059991327962,1.87082869338697,3.5,0.778151250383644,2.34520787991171,6.5,0.301029995663981,1.22474487139159,6,2.32837960343874,14.5773797371133,6.5,0.903089986991944,2.73861278752583,13.5,0.301029995663981,1.22474487139159,4
"2","LD","HD","6","3","M","2","M2","M2","M","2","5","P","1","0","0",0.017857143,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.00768682872724463,0.719622917228183,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","LD","HD","8","12","M","2","M2","M1","M","1","9","D","1","1","1",0.035714286,3,3,4,1,1,"04-Sep-13",247,"04-Sep-13",247,0,1,0.0152399666765422,0.73192505490658,19,0.602059991327962,1.87082869338697,3.5,0.602059991327962,1.87082869338697,3,0.301029995663981,1.22474487139159,6,2.39445168082622,15.7321327225523,24,0,0.707106781186548,6.5,0.301029995663981,1.22474487139159,4
"2","LD","HD","8","6","M","2","M2","M1","M","1","14","D","1","1","1",0.044642857,6,6,2,1,1,"04-Sep-13",247,"04-Sep-13",247,0,1,0.0189678390165893,0.73799922560935,24,0.845098040014257,2.54950975679639,15.5,0.845098040014257,2.54950975679639,10,0.301029995663981,1.22474487139159,6,2.39445168082622,15.7321327225523,24,0,0.707106781186548,6.5,0.301029995663981,1.22474487139159,4
"2","LD","HD","9","5","M","2","M2","M1","M","1","16","D","1","1","1",0.044642857,5.5,5.5,6,1,1,"04-Sep-13",247,"04-Sep-13",247,0,3,0.0189678390165893,0.73799922560935,24,0.812913356642856,2.44948974278318,12,0.812913356642856,2.44948974278318,8,0.301029995663981,1.22474487139159,6,2.39445168082622,15.7321327225523,24,0,0.707106781186548,6.5,0.602059991327962,1.87082869338697,9.5
"2","LD","HD","9","1","M","2","M2","M2","M","2","2","P","1","1","1",0.107142857,6,6,6,1,1,"04-Sep-13",247,"04-Sep-13",247,0,4,0.0442036624360154,0.77919372238231,43.5,0.845098040014257,2.54950975679639,15.5,0.845098040014257,2.54950975679639,10,0.301029995663981,1.22474487139159,6,2.39445168082622,15.7321327225523,24,0,0.707106781186548,6.5,0.698970004336019,2.12132034355964,11.5
"2","LD","HD","9","11","M","2","M2","M1","M","1","4","D","1","0","0",0.017857143,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.00768682872724463,0.719622917228183,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","LD","HD","10","12","M","2","M2","D1","D","1","22","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","LD","HD","10","2","M","2","M2","M1","M","1","9","D","1","0","0",0.011904762,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.00513963969328581,0.715475200129257,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","LD","HD","10","1","M","2","M2","D2","D","2","7","P","1","0","0",0.017857143,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.00768682872724463,0.719622917228183,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","LD","LD","1","22","M","1","M1","M2","M","2","5","P","1","0","0",0.071428571,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0299632232037254,0.755928945734981,32.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","LD","LD","3","16","M","1","M1","D1","D","1","7","D","1","1","1",0.142857143,7,12,16,1,4,"31-Jul-13",212,"04-Sep-13",247,35,9,0.0579919470319736,0.80178372582636,50.5,0.903089986991944,2.73861278752583,20,1.11394335230684,3.53553390593274,24,0.698970004336019,2.12132034355964,24,2.32837960343874,14.5773797371133,6.5,1.55630250076729,5.95818764390649,24,1,3.08220700148449,18
"3","LD","LD","5","5","M","1","M1","M1","M","1","18","D","1","0","0",0.035714286,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0152399666765422,0.73192505490658,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","LD","LD","5","23","M","1","M1","M2","M","2","5","P","1","0","0",0.071428571,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0299632232037254,0.755928945734981,32.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","LD","LD","6","17","M","1","M1","M1","M","1","15","D","1","1","1",0.107142857,4,9,7,1,3,"31-Jul-13",212,"04-Sep-13",247,35,11,0.0442036624360154,0.77919372238231,43.5,0.698970004336019,2.12132034355964,7,1,3.08220700148449,15.5,0.602059991327962,1.87082869338697,20,2.32837960343874,14.5773797371133,6.5,1.55630250076729,5.95818764390649,24,1.07918124604762,3.39116499156263,20
"3","LD","LD","6","3","M","1","M1","D1","D","1","15","D","1","1","0",0.071428571,5,NA,7,3,NA,"04-Sep-13",247,"",NA,NA,NA,0.0299632232037254,0.755928945734981,32.5,0.778151250383644,2.34520787991171,9.5,NA,NA,NA,NA,NA,NA,2.39445168082622,15.7321327225523,24,NA,NA,NA,NA,NA,NA
"3","LD","LD","7","4","M","1","M1","M1","M","1","13","D","1","1","1",0.089285714,8,10,9,1,2,"07-Aug-13",219,"04-Sep-13",247,28,19,0.0371418078906533,0.767649473392642,37.5,0.954242509439325,2.91547594742265,23.5,1.04139268515823,3.24037034920393,18.5,0.477121254719662,1.58113883008419,14.5,2.34242268082221,14.8155323900291,13,1.46239799789896,5.33853912601566,21,1.30102999566398,4.41588043316392,22
"3","LD","LD","7","1","M","1","M1","D1","D","1","24","D","1","1","1",0.107142857,10,11,9,1,3,"07-Aug-13",219,"04-Sep-13",247,28,15,0.0442036624360154,0.77919372238231,43.5,1.04139268515823,3.24037034920393,28.5,1.07918124604762,3.39116499156263,22,0.602059991327962,1.87082869338697,20,2.34242268082221,14.8155323900291,13,1.46239799789896,5.33853912601566,21,1.20411998265592,3.93700393700591,21
"3","LD","LD","7","15","M","1","M1","M1","M","1","9","D","1","1","1",0.142857143,9,9,11,3,3,"04-Sep-13",247,"04-Sep-13",247,0,9,0.0579919470319736,0.80178372582636,50.5,1,3.08220700148449,26,1,3.08220700148449,15.5,0.602059991327962,1.87082869338697,20,2.39445168082622,15.7321327225523,24,0,0.707106781186548,6.5,1,3.08220700148449,18
"3","LD","LD","7","16","M","1","M1","D1","D","1","8","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","LD","LD","7","7","M","1","M1","D1","D","1","10","P","1","0","0",0.071428571,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0299632232037254,0.755928945734981,32.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","LD","LD","8","2","M","1","M1","M1","M","1","19","D","1","1","1",0.053571429,6,8,13,3,3,"07-Aug-13",219,"04-Sep-13",247,28,23,0.0226639848126059,0.744023809430854,26.5,0.845098040014257,2.54950975679639,15.5,0.954242509439325,2.91547594742265,13,0.602059991327962,1.87082869338697,20,2.34242268082221,14.8155323900291,13,1.46239799789896,5.33853912601566,21,1.38021124171161,4.84767985741633,23
"3","LD","LD","8","12","M","1","M1","D1","D","1","6","P","1","1","1",0.035714286,6,6,5,2,2,"04-Sep-13",247,"04-Sep-13",247,0,4,0.0152399666765422,0.73192505490658,19,0.845098040014257,2.54950975679639,15.5,0.845098040014257,2.54950975679639,10,0.477121254719662,1.58113883008419,14.5,2.39445168082622,15.7321327225523,24,0,0.707106781186548,6.5,0.698970004336019,2.12132034355964,11.5
"3","LD","LD","9","17","M","1","M1","D2","D","2","5","D","1","1","1",0.026785714,3,3,6,1,1,"04-Sep-13",247,"04-Sep-13",247,0,3,0.0114798175625829,0.725800050978229,15,0.602059991327962,1.87082869338697,3.5,0.602059991327962,1.87082869338697,3,0.301029995663981,1.22474487139159,6,2.39445168082622,15.7321327225523,24,0,0.707106781186548,6.5,0.602059991327962,1.87082869338697,9.5
"3","LD","LD","9","22","M","1","M1","D1","D","1","17","D","1","1","1",0.107142857,8,8,11,2,2,"04-Sep-13",247,"04-Sep-13",247,0,7,0.0442036624360154,0.77919372238231,43.5,0.954242509439325,2.91547594742265,23.5,0.954242509439325,2.91547594742265,13,0.477121254719662,1.58113883008419,14.5,2.39445168082622,15.7321327225523,24,0,0.707106781186548,6.5,0.903089986991944,2.73861278752583,15
"3","LD","LD","9","5","M","1","M1","D1","D","1","25","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","LD","LD","9","1","M","1","M1","D1","D","1","19","D","1","0","0",0.089285714,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0371418078906533,0.767649473392642,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
