"TRTMT.No","TRTMT.F","TRTMT.O","PLOT","POSITION","DESTS","DESTZ","DSITE.ZONE","OSITE.ZONE","ORS","ORZ","FAMILY","SEED.TYPE","SURV.TP","SURV.FLW","SURV.FR","GR","STEM.FL","STEM.F","LEAF.FL","BR.FL","BR.F","DATE.FL","J.Date.FL","DATE.F","J.Date.F","Diff.Date.FL.F","F.NFL","logGR","sqrtGR","rankGR","logSTEM.FL","sqrtSTEM.FL","rankSTEM.FL","logSTEM.F","sqrtSTEM.F","rankSTEM.F","logBR.F","sqrtBR.F","rankBR.F","logJ.Date.FL","sqrtJ.Date.FL","rankJ.Date.FL","logDiff.Date.FL.F","sqrtDiff.Date.FL.F","rankDiff.Date.FL.F","logF.NFL","sqrtF.NFL","rankF.NFL"
"1","LD","LD","3","10","M","1","M1","M1","M","1","3","P","1","0","0",0.071428571,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0299632232037254,0.755928945734981,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","LD","LD","5","12","M","1","M1","D1","D","1","20","D","1","1","1",0.214285714,5,17,7,3,5,"17-Jul-13",198,"04-Sep-13",247,49,47,0.084320885597849,0.845154254559486,27,0.778151250383644,2.34520787991171,3.5,1.25527250510331,4.18330013267038,15,0.778151250383644,2.34520787991171,14.5,2.29885307640971,14.0890028036054,1,1.69897000433602,7.03562363973514,15,1.68124123737559,6.89202437604511,15
"1","LD","LD","5","7","M","1","M1","D1","D","1","21","D","1","0","0",0.071428571,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0299632232037254,0.755928945734981,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","LD","LD","6","6","M","1","M1","D1","D","1","19","P","1","1","1",0.142857143,6,11,16,2,3,"31-Jul-13",212,"04-Sep-13",247,35,44,0.0579919470319736,0.80178372582636,22.5,0.845098040014257,2.54950975679639,6,1.07918124604762,3.39116499156263,12,0.602059991327962,1.87082869338697,9,2.32837960343874,14.5773797371133,3,1.55630250076729,5.95818764390649,13,1.65321251377534,6.67083203206317,14
"1","LD","LD","8","10","M","1","M1","M1","M","1","3","D","1","1","1",0.160714286,10,11,8,1,4,"21-Aug-13",233,"04-Sep-13",247,14,29,0.0647253297435584,0.812843334228681,25,1.04139268515823,3.24037034920393,14.5,1.07918124604762,3.39116499156263,12,0.698970004336019,2.12132034355964,12.5,2.36921585741014,15.2807067899361,8,1.17609125905568,3.80788655293195,8,1.47712125471966,5.43139024560011,13
"1","LD","LD","9","12","M","1","M1","D1","D","1","25","D","1","1","1",0.142857143,10,10,6,2,2,"04-Sep-13",247,"04-Sep-13",247,0,7,0.0579919470319736,0.80178372582636,22.5,1.04139268515823,3.24037034920393,14.5,1.04139268515823,3.24037034920393,9,0.477121254719662,1.58113883008419,4,2.39445168082622,15.7321327225523,12.5,0,0.707106781186548,4,0.903089986991944,2.73861278752583,4.5
"1","LD","LD","9","2","M","1","M1","D2","D","2","10","D","1","1","1",0.178571429,10,10,6,5,5,"04-Sep-13",247,"04-Sep-13",247,0,9,0.0713559086935935,0.823754471308047,26,1.04139268515823,3.24037034920393,14.5,1.04139268515823,3.24037034920393,9,0.778151250383644,2.34520787991171,14.5,2.39445168082622,15.7321327225523,12.5,0,0.707106781186548,4,1,3.08220700148449,7
"1","LD","LD","9","7","M","1","M1","M2","M","2","5","P","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","LD","LD","10","4","M","1","M1","D2","D","2","18","D","1","1","1",0.125,8,8,6,2,2,"04-Sep-13",247,"04-Sep-13",247,0,6,0.0511525224473813,0.790569415042095,20,0.954242509439325,2.91547594742265,10,0.954242509439325,2.91547594742265,4,0.477121254719662,1.58113883008419,4,2.39445168082622,15.7321327225523,12.5,0,0.707106781186548,4,0.845098040014257,2.54950975679639,3
"3","LD","LD","1","22","M","1","M1","M2","M","2","5","P","1","0","0",0.071428571,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0299632232037254,0.755928945734981,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","LD","LD","3","16","M","1","M1","D1","D","1","7","D","1","1","1",0.142857143,7,12,16,1,4,"31-Jul-13",212,"04-Sep-13",247,35,9,0.0579919470319736,0.80178372582636,22.5,0.903089986991944,2.73861278752583,8,1.11394335230684,3.53553390593274,14,0.698970004336019,2.12132034355964,12.5,2.32837960343874,14.5773797371133,3,1.55630250076729,5.95818764390649,13,1,3.08220700148449,7
"3","LD","LD","5","5","M","1","M1","M1","M","1","18","D","1","0","0",0.035714286,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0152399666765422,0.73192505490658,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","LD","LD","5","23","M","1","M1","M2","M","2","5","P","1","0","0",0.071428571,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0299632232037254,0.755928945734981,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","LD","LD","6","17","M","1","M1","M1","M","1","15","D","1","1","1",0.107142857,4,9,7,1,3,"31-Jul-13",212,"04-Sep-13",247,35,11,0.0442036624360154,0.77919372238231,18,0.698970004336019,2.12132034355964,2,1,3.08220700148449,6.5,0.602059991327962,1.87082869338697,9,2.32837960343874,14.5773797371133,3,1.55630250076729,5.95818764390649,13,1.07918124604762,3.39116499156263,9
"3","LD","LD","6","3","M","1","M1","D1","D","1","15","D","1","1","0",0.071428571,5,NA,7,3,NA,"04-Sep-13",247,"",NA,NA,NA,0.0299632232037254,0.755928945734981,10.5,0.778151250383644,2.34520787991171,3.5,NA,NA,NA,NA,NA,NA,2.39445168082622,15.7321327225523,12.5,NA,NA,NA,NA,NA,NA
"3","LD","LD","7","4","M","1","M1","M1","M","1","13","D","1","1","1",0.089285714,8,10,9,1,2,"07-Aug-13",219,"04-Sep-13",247,28,19,0.0371418078906533,0.767649473392642,14.5,0.954242509439325,2.91547594742265,10,1.04139268515823,3.24037034920393,9,0.477121254719662,1.58113883008419,4,2.34242268082221,14.8155323900291,6,1.46239799789896,5.33853912601566,10,1.30102999566398,4.41588043316392,11
"3","LD","LD","7","1","M","1","M1","D1","D","1","24","D","1","1","1",0.107142857,10,11,9,1,3,"07-Aug-13",219,"04-Sep-13",247,28,15,0.0442036624360154,0.77919372238231,18,1.04139268515823,3.24037034920393,14.5,1.07918124604762,3.39116499156263,12,0.602059991327962,1.87082869338697,9,2.34242268082221,14.8155323900291,6,1.46239799789896,5.33853912601566,10,1.20411998265592,3.93700393700591,10
"3","LD","LD","7","15","M","1","M1","M1","M","1","9","D","1","1","1",0.142857143,9,9,11,3,3,"04-Sep-13",247,"04-Sep-13",247,0,9,0.0579919470319736,0.80178372582636,22.5,1,3.08220700148449,12,1,3.08220700148449,6.5,0.602059991327962,1.87082869338697,9,2.39445168082622,15.7321327225523,12.5,0,0.707106781186548,4,1,3.08220700148449,7
"3","LD","LD","7","16","M","1","M1","D1","D","1","8","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","LD","LD","7","7","M","1","M1","D1","D","1","10","P","1","0","0",0.071428571,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0299632232037254,0.755928945734981,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
