"TRTMT.No","TRTMT.F","TRTMT.O","PLOT","POSITION","DESTS","DESTZ","DSITE.ZONE","OSITE.ZONE","ORS","ORZ","FAMILY","SEED.TYPE","SURV.TP","SURV.FLW","SURV.FR","GR","STEM.FL","STEM.F","LEAF.FL","BR.FL","BR.F","DATE.FL","J.Date.FL","DATE.F","J.Date.F","Diff.Date.FL.F","F.NFL","logGR","sqrtGR","rankGR","logSTEM.FL","sqrtSTEM.FL","rankSTEM.FL","logSTEM.F","sqrtSTEM.F","rankSTEM.F","logBR.F","sqrtBR.F","rankBR.F","logJ.Date.FL","sqrtJ.Date.FL","rankJ.Date.FL","logDiff.Date.FL.F","sqrtDiff.Date.FL.F","rankDiff.Date.FL.F","logF.NFL","sqrtF.NFL","rankF.NFL"
"1","LD","LD","1","7","D","1","D1","B2","B","2","11","P","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","LD","LDBS","5","7","D","1","D1","B2","B","2","24","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","LD","LD","6","3","D","2","D2","B2","B","2","7","D","1","1","1",0.016666667,5,5,5,1,1,"23-Jul-13",204,"02-Aug-13",214,10,2,0.00717858476951502,0.71879528866013,6,0.778151250383644,2.34520787991171,5,0.778151250383644,2.34520787991171,6.5,0.301029995663981,1.22474487139159,3.5,2.31175386105575,14.3003496460751,1.5,1.04139268515823,3.24037034920393,2.5,0.477121254719662,1.58113883008419,5.5
"4","LD","LD","6","1","D","2","D2","B2","B","2","8","P","1","1","1",0.020833333,2,3,3,1,1,"23-Jul-13",204,"02-Aug-13",214,10,1,0.00895484251111596,0.721687836256092,7.5,0.477121254719662,1.58113883008419,2,0.602059991327962,1.87082869338697,1,0.301029995663981,1.22474487139159,3.5,2.31175386105575,14.3003496460751,1.5,1.04139268515823,3.24037034920393,2.5,0.301029995663981,1.22474487139159,2.5
"4","LD","LD","7","10","D","2","D2","B2","B","2","14","P","1","1","1",0.03125,3,4,3,1,1,"02-Aug-13",214,"15-Aug-13",227,13,1,0.0133639615579815,0.728868986855663,9,0.602059991327962,1.87082869338697,3,0.698970004336019,2.12132034355964,3.5,0.301029995663981,1.22474487139159,3.5,2.33243845991561,14.6458185158768,3.5,1.14612803567824,3.67423461417477,4.5,0.301029995663981,1.22474487139159,2.5
"4","LD","LD","7","12","D","2","D2","B2","B","2","24","D","1","1","1",0.033333333,NA,4,NA,2,1,"",NA,"15-Aug-13",227,NA,1,0.0142404389745153,0.730296743112004,10,NA,NA,NA,0.698970004336019,2.12132034355964,3.5,0.301029995663981,1.22474487139159,3.5,NA,NA,NA,NA,NA,NA,0.301029995663981,1.22474487139159,2.5
"5","LD","LDBS","2","8","D","2","D2","B2","B","2","15","P","1","0","0",0.010416667,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.00450050136994889,0.714434508545045,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","LD","LDBS","3","8","D","2","D2","B2","B","2","7","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","LD","LDBS","3","12","D","2","D2","B2","B","2","18","P","1","0","0",0.010416667,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.00450050136994889,0.714434508545045,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","LD","LDBS","6","3","D","2","D2","B2","B","2","24","P","1","0","0",0.1,NA,4,NA,NA,NA,"",NA,"",NA,NA,NA,0.0413926851582251,0.774596669241483,12,NA,NA,NA,0.698970004336019,2.12132034355964,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","LD","LDBS","7","7","D","2","D2","B2","B","2","10","P","1","1","1",0.020833333,4,4,5,1,1,"15-Aug-13",227,"15-Aug-13",227,0,1,0.00895484251111596,0.721687836256092,7.5,0.698970004336019,2.12132034355964,4,0.698970004336019,2.12132034355964,3.5,0.301029995663981,1.22474487139159,3.5,2.35793484700045,15.0831031289984,5,0,0.707106781186548,1,0.301029995663981,1.22474487139159,2.5
"7","LD","HD","1","13","D","1","D1","B2","B","2","25","D","1","1","1",0.066666667,1,5,6,1,1,"02-Aug-13",214,"15-Aug-13",227,13,2,0.0280287237359606,0.752772652930485,11,0.301029995663981,1.22474487139159,1,0.778151250383644,2.34520787991171,6.5,0.301029995663981,1.22474487139159,3.5,2.33243845991561,14.6458185158768,3.5,1.14612803567824,3.67423461417477,4.5,0.477121254719662,1.58113883008419,5.5
