"TRTMT.No","TRTMT.F","TRTMT.O","PLOT","POSITION","DESTS","DESTZ","DSITE.ZONE","OSITE.ZONE","ORS","ORZ","FAMILY","SEED.TYPE","SURV.TP","SURV.FLW","SURV.FR","GR","STEM.FL","STEM.F","LEAF.FL","BR.FL","BR.F","DATE.FL","J.Date.FL","DATE.F","J.Date.F","Diff.Date.FL.F","F.NFL","logGR","sqrtGR","rankGR","logSTEM.FL","sqrtSTEM.FL","rankSTEM.FL","logSTEM.F","sqrtSTEM.F","rankSTEM.F","logBR.F","sqrtBR.F","rankBR.F","logJ.Date.FL","sqrtJ.Date.FL","rankJ.Date.FL","logDiff.Date.FL.F","sqrtDiff.Date.FL.F","rankDiff.Date.FL.F","logF.NFL","sqrtF.NFL","rankF.NFL"
"2","LD","LDBS","5","8","D","1","D1","D2","D","2","11","D","1","0","0",0.0625,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0263289387223491,0.75,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","LD","LDBS","10","9","D","1","D1","D2","D","2","14","P","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","LD","LD","2","12","D","2","D2","D2","D","2","11","P","1","1","1",0.010416667,5.5,5.5,5,1,1,"02-Sep-13",245,"02-Sep-13",245,0,1,0.00450050136994889,0.714434508545045,7,0.812913356642856,2.44948974278318,9,0.812913356642856,2.44948974278318,6.5,0.301029995663981,1.22474487139159,4,2.39093510710338,15.6684396159924,8,0,0.707106781186548,4,0.301029995663981,1.22474487139159,3
"4","LD","LD","6","4","D","2","D2","D2","D","2","24","P","1","1","1",0.03125,5,5.5,3,1,1,"23-Jul-13",204,"02-Aug-13",214,10,2,0.0133639615579815,0.728868986855663,13,0.778151250383644,2.34520787991171,8,0.812913356642856,2.44948974278318,6.5,0.301029995663981,1.22474487139159,4,2.31175386105575,14.3003496460751,1.5,1.04139268515823,3.24037034920393,9,0.477121254719662,1.58113883008419,6.5
"4","LD","LD","7","8","D","2","D2","D2","D","2","8","D","1","0","0",0.03125,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0133639615579815,0.728868986855663,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","LD","LDBS","2","9","D","2","D2","D2","D","2","24","D","1","1","1",0.114583333,6,6,2,2,2,"02-Sep-13",245,"02-Sep-13",245,0,1,0.0471125445157587,0.783953654880185,22,0.845098040014257,2.54950975679639,10.5,0.845098040014257,2.54950975679639,8,0.477121254719662,1.58113883008419,8.5,2.39093510710338,15.6684396159924,8,0,0.707106781186548,4,0.301029995663981,1.22474487139159,3
"5","LD","LDBS","2","11","D","2","D2","D2","D","2","14","P","1","0","0",0.125,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0511525224473813,0.790569415042095,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","LD","LDBS","3","5","D","2","D2","D2","D","2","7","D","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","LD","LDBS","7","3","D","2","D2","D2","D","2","13","D","1","1","1",0,4,4,4,1,1,"23-Jul-13",204,"15-Aug-13",227,23,1,0,0.707106781186548,3.5,0.698970004336019,2.12132034355964,6,0.698970004336019,2.12132034355964,4,0.301029995663981,1.22474487139159,4,2.31175386105575,14.3003496460751,1.5,1.38021124171161,4.84767985741633,10,0.301029995663981,1.22474487139159,3
"5","LD","LDBS","7","1","D","2","D2","D2","D","2","14","P","1","1","1",0.03125,3,3,2,1,1,"02-Sep-13",245,"02-Sep-13",245,0,2,0.0133639615579815,0.728868986855663,13,0.602059991327962,1.87082869338697,3,0.602059991327962,1.87082869338697,2,0.301029995663981,1.22474487139159,4,2.39093510710338,15.6684396159924,8,0,0.707106781186548,4,0.477121254719662,1.58113883008419,6.5
