"TRTMT.No","TRTMT.F","TRTMT.O","PLOT","POSITION","DESTS","DESTZ","DSITE.ZONE","OSITE.ZONE","ORS","ORZ","FAMILY","SEED.TYPE","SURV.TP","SURV.FLW","SURV.FR","GR","STEM.FL","STEM.F","LEAF.FL","BR.FL","BR.F","DATE.FL","J.Date.FL","DATE.F","J.Date.F","Diff.Date.FL.F","F.NFL","logGR","sqrtGR","rankGR","logSTEM.FL","sqrtSTEM.FL","rankSTEM.FL","logSTEM.F","sqrtSTEM.F","rankSTEM.F","logBR.F","sqrtBR.F","rankBR.F","logJ.Date.FL","sqrtJ.Date.FL","rankJ.Date.FL","logDiff.Date.FL.F","sqrtDiff.Date.FL.F","rankDiff.Date.FL.F","logF.NFL","sqrtF.NFL","rankF.NFL"
"4","LD","LD","3","8","D","2","D2","M2","M","2","6","D","1","1","1",0,3,3,1,1,1,"02-Sep-13",245,"02-Sep-13",245,0,1,0,0.707106781186548,1.5,0.602059991327962,1.87082869338697,2,0.602059991327962,1.87082869338697,2,0.301029995663981,1.22474487139159,3,2.39093510710338,15.6684396159924,3,0,0.707106781186548,2.5,0.301029995663981,1.22474487139159,2
"8","LD","HD","3","1","D","2","D2","M2","M","2","2","P","1","1","1",0.03125,4.5,4.5,3,1,1,"02-Sep-13",245,"02-Sep-13",245,0,3,0.0133639615579815,0.728868986855663,6,0.740362689494244,2.23606797749979,4,0.740362689494244,2.23606797749979,4,0.301029995663981,1.22474487139159,3,2.39093510710338,15.6684396159924,3,0,0.707106781186548,2.5,0.602059991327962,1.87082869338697,4
"8","LD","HD","7","1","D","2","D2","M2","M","2","1","D","1","1","1",0.010416667,3,3,2,1,1,"02-Sep-13",245,"02-Sep-13",245,0,1,0.00450050136994889,0.714434508545045,3,0.602059991327962,1.87082869338697,2,0.602059991327962,1.87082869338697,2,0.301029995663981,1.22474487139159,3,2.39093510710338,15.6684396159924,3,0,0.707106781186548,2.5,0.301029995663981,1.22474487139159,2
"1","LD","LD","9","7","M","1","M1","M2","M","2","5","P","1","0","0",0,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0,0.707106781186548,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","LD","HD","4","1","M","2","M2","M2","M","2","5","P","1","0","0",0.071428571,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0299632232037254,0.755928945734981,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","LD","HD","6","3","M","2","M2","M2","M","2","5","P","1","0","0",0.017857143,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.00768682872724463,0.719622917228183,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","LD","HD","9","1","M","2","M2","M2","M","2","2","P","1","1","1",0.107142857,6,6,6,1,1,"04-Sep-13",247,"04-Sep-13",247,0,4,0.0442036624360154,0.77919372238231,10,0.845098040014257,2.54950975679639,5,0.845098040014257,2.54950975679639,5,0.301029995663981,1.22474487139159,3,2.39445168082622,15.7321327225523,5,0,0.707106781186548,2.5,0.698970004336019,2.12132034355964,5
"3","LD","LD","1","22","M","1","M1","M2","M","2","5","P","1","0","0",0.071428571,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0299632232037254,0.755928945734981,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","LD","LD","5","23","M","1","M1","M2","M","2","5","P","1","0","0",0.071428571,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,0.0299632232037254,0.755928945734981,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","LD","HD","7","15","M","2","M2","M2","M","2","4","D","1","1","1",0.017857143,3,3,4,1,1,"07-Aug-13",219,"21-Aug-13",233,14,1,0.00768682872724463,0.719622917228183,4.5,0.602059991327962,1.87082869338697,2,0.602059991327962,1.87082869338697,2,0.301029995663981,1.22474487139159,3,2.34242268082221,14.8155323900291,1,1.17609125905568,3.80788655293195,5,0.301029995663981,1.22474487139159,2
