"DESTZ","N","GR","sd","se","ci"
"1","1",27,0.0899470898888889,0.055202167350022,0.0106236620597953,0.0218372501101027
"2","2",30,0.0572420635333333,0.0585538965647485,0.010690429992779,0.0218643843083761
"DESTZ","N","STEM.FL","sd","se","ci"
"1","1",16,7.1875,2.28673712233537,0.571684280583843,1.2185162000541
"2","2",14,5.03571428571429,1.75919874368424,0.470165641007828,1.01573111417905
"DESTZ","N","STEM.F","sd","se","ci"
"1","1",15,9.53333333333333,3.06749471222426,0.792023729001592,1.69872195047763
"2","2",11,6.31818181818182,4.9913561647749,1.50495050850779,3.3532386983227
"DESTZ","N","BR.F","sd","se","ci"
"1","1",15,2.93333333333333,1.16291915126588,0.300264433722561,0.644003160303326
"2","2",12,1.33333333333333,0.887625364598595,0.256235371595269,0.563970250371754
"DESTZ","N","J.Date.FL","sd","se","ci"
"1","1",16,231.25,17.6162803489651,4.40407008724127,9.3870531860638
"2","2",14,224.5,18.65785048218,4.98652029128375,10.7727221421051
"DESTZ","N","Diff.Date.FL.F","sd","se","ci"
"1","1",15,16.8,17.7087548969429,4.57238085319527,9.80678158602346
"2","2",12,10.5,14.1581971117281,4.087119456848,8.99568927204424
"DESTS","N","GR","sd","se","ci"
"1","D",30,0.0236805556333333,0.0303164351936835,0.00553499847290798,0.0113203429459506
"2","M",30,0.0572420635333333,0.0585538965647485,0.010690429992779,0.0218643843083761
"DESTS","N","STEM.FL","sd","se","ci"
"1","D",18,4.36111111111111,1.13507651407756,0.267540100089943,0.564460270864846
"2","M",14,5.03571428571429,1.75919874368424,0.470165641007828,1.01573111417905
"DESTS","N","STEM.F","sd","se","ci"
"1","D",17,4.44117647058824,1.05892564867028,0.25682719406725,0.544449329687288
"2","M",11,6.31818181818182,4.9913561647749,1.50495050850779,3.3532386983227
"DESTS","N","BR.F","sd","se","ci"
"1","D",17,1.05882352941176,0.242535625036333,0.0588235294117647,0.124700311718897
"2","M",12,1.33333333333333,0.887625364598595,0.256235371595269,0.563970250371754
"DESTS","N","J.Date.FL","sd","se","ci"
"1","D",18,227,17.7962322516015,4.19461216822605,8.84985809549251
"2","M",14,224.5,18.65785048218,4.98652029128375,10.7727221421051
"DESTS","N","Diff.Date.FL.F","sd","se","ci"
"1","D",17,6.17647058823529,7.31637968975817,1.77448272105863,3.76173532374874
"2","M",12,10.5,14.1581971117281,4.087119456848,8.99568927204424
"DESTZ","N","F.NFL","sd","se","ci"
"1","1",15,16.1333333333333,13.9379577652778,3.59876522033754,7.71858373752154
"2","2",12,5,10.2425138959677,2.95675907750771,6.50778285156071
"DESTS","N","F.NFL","sd","se","ci"
"1","D",17,1.23529411764706,0.562295714538387,0.136376742580819,0.289105779287611
"2","M",12,5,10.2425138959677,2.95675907750771,6.50778285156071
