"DESTZ","N","GR","sd","se","ci"
"1","1",27,0.0899470898888889,0.055202167350022,0.0106236620597953,0.0218372501101027
"2","2",30,0.0572420635333333,0.0585538965647485,0.010690429992779,0.0218643843083761
"DESTZ","N","rankSTEM.FL","sd","se","ci"
"1","1",16,19.15625,8.45718382993614,2.11429595748404,4.50651515775822
"2","2",14,11.3214285714286,7.14844561602554,1.91050245308241,4.12738961773452
"DESTZ","N","sqrtSTEM.F","sd","se","ci"
"1","1",15,3.12964135708821,0.50569433455726,0.130569715734114,0.280044188151739
"2","2",11,2.49911842800181,0.793629504935355,0.239288299129644,0.533167556116472
"DESTZ","N","rankBR.F","sd","se","ci"
"1","1",15,18.6333333333333,5.57887170705776,1.44045848080416,3.08947617412707
"2","2",12,8.20833333333333,5.54099733939221,1.59954815273855,3.52058174702953
"DESTZ","N","J.Date.FL","sd","se","ci"
"1","1",16,231.25,17.6162803489651,4.40407008724127,9.3870531860638
"2","2",14,224.5,18.65785048218,4.98652029128375,10.7727221421051
"DESTZ","N","rankDiff.Date.FL.F","sd","se","ci"
"1","1",15,14.9,8.41384912765003,2.17244650325936,4.65943434040425
"2","2",12,12.875,6.5126624914295,1.880043721284,4.13794833086955
"DESTS","N","GR","sd","se","ci"
"1","D",30,0.0236805556333333,0.0303164351936835,0.00553499847290798,0.0113203429459506
"2","M",30,0.0572420635333333,0.0585538965647485,0.010690429992779,0.0218643843083761
"DESTS","N","STEM.FL","sd","se","ci"
"1","D",18,4.36111111111111,1.13507651407756,0.267540100089943,0.564460270864846
"2","M",14,5.03571428571429,1.75919874368424,0.470165641007828,1.01573111417905
"DESTS","N","rankSTEM.F","sd","se","ci"
"1","D",17,13.5588235294118,6.83026892072426,1.6565835418541,3.51180022897922
"2","M",11,15.9545454545455,9.88042141169734,2.97905914483579,6.63775742297363
"DESTS","N","rankBR.F","sd","se","ci"
"1","D",17,14.3235294117647,3.39549875050866,0.823529411764706,1.74580436406456
"2","M",12,15.9583333333333,5.75032937133064,1.65997710523338,3.65358497471054
"DESTS","N","rankJ.Date.FL","sd","se","ci"
"1","D",18,16.0555555555556,7.94260456778892,1.8720898500556,3.94976432875094
"2","M",14,17.0714285714286,11.0154736321531,2.94400916318279,6.36014512047935
"DESTS","N","rankDiff.Date.FL.F","sd","se","ci"
"1","D",17,13.8529411764706,7.28389642010535,1.76660437095016,3.74503396760467
"2","M",12,16.625,8.99526390537113,2.59670901859887,5.71531801501225
"DESTZ","N","logF.NFL","sd","se","ci"
"1","1",15,1.11522836544079,0.326685144533728,0.0843497416154994,0.18091220294623
"2","2",12,0.530686233636689,0.386683637867338,0.111625951206966,0.245687062087645
"DESTS","N","sqrtF.NFL","sd","se","ci"
"1","D",17,1.30467850311986,0.187556334778335,0.0454890928849872,0.0964325690636522
"2","M",12,1.91740325927131,1.41044083682531,0.407159198408566,0.89615135349206
